Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10592,Carrie,Stephen  King,"King, Stephen",,"=""1416524304""","=""9781416524304""",5,Pocket,Mass Market Paperback,272,1999,1974,2026/01/02,2025/12/31,,,read,"I usually write my review in Pros and Cons bullet points but there are no cons about this so full text will be.<br/><br/>King has an amazing ability to write gruesome scenes and make us doubt his own sanity; I’m sure he’s more than okay with that but it’s books like Carrie that make people give him a bad look. That’s how good the book is!<br/><br/>I’ve read Carrie after reading Cell and while the destruction vibe feels similar, it’s so much better achieved in Carrie. Cell felt very long, while the journey was obvious, but, Carrie… it was just the perfect length.<br/><br/>I don’t know how much King lived to be able to write the characters that he writes, but they feel so alive, so real, so disgustingly human, that the horror in them transpires so easily into us that you actually feel sorry and disgusted by and for them.<br/><br/>Anyway, I’m just rambling. It’s a very good book. The writing is amazing, the plot is good, the story is horrific, the details are disgusting, the emotions are raw.<br/><br/>It’s not for everybody (horror never is) and a lot of people will judge the story based on the acts of animalistic nature, but if you can look past that, you’ll get it",,,1,0
212090220,"Advent (The Exlian Syndrome Series, #1)",Seth Ring,"Ring, Seth",,"=""""","=""9798874692575""",4,"Blackstone Publishing, Inc.",Hardcover,384,2025,2025,2025/12/31,2025/12/10,,,read,"Pros:<br/>- good and detailed fight scenes<br/>- zero to hero plot felt good with enough layers<br/>- it has training montages, and coupled with the detailed fight scenes it is very entertaining<br/>- detailed description of powers and enemies<br/><br/>Cons:<br/>- i would like to know more about the city and its history and it doesn’t provide that<br/>- chapters ended in weird places<br/>- this book sets up a lot of plot points but doesn’t try to resolve any of them - i know that this is a series but it would have been nice to have something more<br/>- mysterious characters feel like what you’ve seen in many different stories<br/>- audio narration is slow",,,1,0
217388302,Hemlock & Silver,T. Kingfisher,"Kingfisher, T.",,"=""1250342031""","=""9781250342034""",3,Tor Books,Hardcover,368,2025,2025,2025/12/31,2025/12/23,,,read,"Pros;<br/>- the cat would win the prize of the most cat of cats<br/>- the idea of the mirrors and reflections “hanging” until the person crossed a different one was very interesting<br/><br/>Cons:<br/>- i didn’t enjoy the resolution of the villain<br/>- it felt like it didn’t really matter who the main character was because she didn’t bring anything unique to the resolution<br/>- when you reach the end, you wonder if this couldn’t have been a short story instead because it has a lot of padding that feels like red herrings<br/>- there’s a tiny bit of history about the realm but it felt insufficient for me",,,1,0
32717347,"Fire Mage (Firecaller, #1)",Trudi Jaye,"Jaye, Trudi",,"=""1738626709""","=""9781738626700""",4,Star Media,Kindle Edition,341,2016,,2025/12/22,2025/11/29,,,read,"3.5⭐️ really<br/>It’s an engaging story but felt very barebones with the characters making decisions based on very vague info or even in single events (doesn’t seem credible, basically)<br/>The plot is your regular fantasy good vs evil with unpredictable situations and that’s fine.<br/>The characters weren’t bad, but, again, their personalities changed very quickly and it felt like there was a lot left unsaid (and it’s not a particular short book so we could have spent more time developing them)",,,1,0
23848137,"Made to Kill (Ray Electromatic Mysteries, #1)",Adam Christopher,"Christopher, Adam",,"=""076537918X""","=""9780765379184""",3,Tor Books,Hardcover,237,2015,2015,2025/12/10,2025/12/01,,,read,"At most, it was okay… Not a lot happens, although the concept is cool",,,1,0
42046112,Recursion,Blake Crouch,"Crouch, Blake",,"=""1524759783""","=""9781524759780""",3,Crown,Hardcover,329,2019,2019,2025/11/28,2023/02/28,,,read,"3.5⭐️ actually<br/><br/>I always end Crouch’s books feeling like they should actually be tv series. I guess that makes sense considering he’s seen as a screenwriter but I think that this approach works poorly for the second half of his books.<br/><br/>Recursion is a good book but if I’m reading the same thing 3-4 times, it just feels like … wasted time, I dunno.<br/>Repeating stuff works great in television and there’s always a different way of showing stuff , but with writing… I jut don’t think it works<br/><br/>The first half of the book felt amazing; everything made sense, and although the pacing was a bit slow, I was enjoying the book.<br/>The second half, tho… It felt very, very slow, and the impactful moments just got lost in the repetition and need to move forward to be able to wrap up the story.<br/><br/>Something was off. We followed the characters in several timelines and the climax is achieved by omitting an action of the sole character that we’re following <spoiler>how are we spending so many pages talking about each step the characters take but we then jump the part where Barry breaks into Slade’s house to remove the bullets???</spoiler><br/><br/>The book went on for too long for its own good and that makes me sad",,,1,0
24830,The Illustrated Man,Ray Bradbury,"Bradbury, Ray",,"=""000712774X""","=""9780007127740""",0,Voyager Classics / Harper Collins,Paperback,186,2002,1951,,2025/11/10,to-read,to-read (#279),to-read,,,,1,0
40651883,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",1,Spectra,Kindle Edition,559,2018,1992,2025/11/18,2021/06/06,,,read,"I wasn’t expecting the book to be this awful, but it is.<br/>There’s so much exposition / lore, given by one sided dialogue that it gets extremely boring and uninteresting!<br/>The second half of the book is basically just one character explaining things to the other, with a “Oh yeah?” or “What do you mean?” in the middle just so you remember that there’s someone else in play.<br/><br/>I honestly don’t understand how this book has such a high rating considering the amount of info dump that it does.<br/>The world is cool and the concept was fairly new at the time, but the characters are flat as a sheet of paper, and the dialogue is … something.<br/>I don’t know what was the author’s reason to expose the world or plot like this but it reads like something a beginner would write.",,,1,0
32805475,Save the Cat! Writes a Novel,Jessica Brody,"Brody, Jessica",,"=""""","=""""",0,Ten Speed Press,Paperback,320,2018,2018,,2025/11/17,to-read,to-read (#278),to-read,,,,0,0
33514,The Elements of Style,William Strunk Jr.,"Jr., William Strunk",E.B. White,"=""""","=""""",0,Allyn & Bacon,Hardcover,105,1999,1918,,2025/11/17,to-read,to-read (#277),to-read,,,,0,0
37944800,On Writing: A Memoir of the Craft,Stephen  King,"King, Stephen",,"=""1508220301""","=""9781508220305""",5,Simon and Schuster Audio,Audiobook,8,2016,2000,2025/11/13,2023/08/21,,,read,"If you have the chance, hear the audiobook before reading the book, since you’ll hear the words from the King himself.<br/><br/>As a wannabe writer, On Writing is a kick in the balls; I’m 32, with no experience, and haven’t written more than 2 pages in the last 2 years, so King tells me “You’re not gonna make it” and he’s right. But maybe I also needed this message to be said loud and clear for me to get real about it.<br/><br/>As a reader, On Writing helps me understand what is and isn’t a good book; I don’t like how I end up describing a book as “something is off” and King’s explanations of what should be avoided made perfect sense to me (adverbs, long exposition, dialogue tags).<br/><br/>As a King enjoyer, knowing his process and life was very refreshing, which is made even better on the audiobook.",,,1,0
248596,Something Wicked This Way Comes,Ray Bradbury,"Bradbury, Ray",,"=""0380729407""","=""9780380729401""",0,Harper Voyager,Mass Market Paperback,293,1998,1962,,2025/11/10,to-read,to-read (#276),to-read,,,,0,0
77711,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,"Vinge, Vernor",,"=""0812515285""","=""9780812515282""",3,Tor Science Fiction,Mass Market Paperback,613,1993,1992,2025/11/08,2024/04/23,,,read,"I get the high rating of this book, its first half is very good, but it has awful passing issues.<br/>The journey part seemed to never end and there was A LOT of exposition<br/>The plot also felt contrived at times and I’m not a fan of having a single character “saving the world”; the resolution of the menace also felt very weak.<br/><br/>I also feel like this book could have been maybe 3 different ones; or it could have been cut in half - there was no need for it to be so long in the uninteresting parts.<br/><br/>I’m sad for this; the book had an amazing way of talking about stuff: no long explanations about the whys because that’s just how it is, but then it lost itself on trying to find a solution for a problem it itself created",,,1,0
222953258,"Depths of Vanalf (Grimnir Chronicles, #1)",Brady Hunsaker,"Hunsaker, Brady",,"=""""","=""""",0,,Kindle Edition,446,2025,,,2025/10/19,to-read,to-read (#275),to-read,,,,0,0
87580,The Private Memoirs and Confessions of a Justified Sinner,James Hogg,"Hogg, James",John Carey,"=""0192835904""","=""9780192835901""",0,Oxford University Press,Paperback,272,1999,1824,,2025/10/16,to-read,to-read (#274),to-read,,,,0,0
207313,Melmoth the Wanderer,Charles Robert Maturin,"Maturin, Charles Robert",Victor Sage,"=""014044761X""","=""9780140447613""",0,Penguin Books,Paperback,659,2001,1820,,2025/10/16,to-read,to-read (#273),to-read,,,,0,0
472966,The Vampyre,John William Polidori,"Polidori, John William",,"=""1846372828""","=""9781846372827""",0,Echo Library,Paperback,72,2006,1819,,2025/10/16,to-read,to-read (#272),to-read,,,,0,0
50398,Northanger Abbey,Jane Austen,"Austen, Jane",Alfred Mac Adam,"=""1593082649""","=""9781593082642""",0,Barnes & Noble Classics,Paperback,260,2005,1817,,2025/10/16,to-read,to-read (#271),to-read,,,,0,0
905394,Zastrozzi,Percy Bysshe Shelley,"Shelley, Percy Bysshe",Germaine Greer,"=""1843910292""","=""9781843910299""",0,Hesperus Press,Paperback,117,2002,1810,,2025/10/16,to-read,to-read (#270),to-read,,,,0,0
1116977,Zofloya,Charlotte Dacre,"Dacre, Charlotte",Adriana Craciun,"=""1551111462""","=""9781551111469""",0,Broadview Press Inc,Paperback,303,1997,1806,,2025/10/16,to-read,to-read (#269),to-read,,,,0,0
93157,The Monk,Matthew Gregory Lewis,"Lewis, Matthew Gregory",,"=""0140436030""","=""9780140436037""",0,Penguin Classics,Paperback,385,1998,1796,,2025/10/16,to-read,to-read (#268),to-read,,,,0,0
93134,The Mysteries of Udolpho,Ann Radcliffe,"Radcliffe, Ann",Jacqueline Howard,"=""0140437592""","=""9780140437591""",0,Penguin Classics,Paperback,654,2001,1794,,2025/10/16,to-read,to-read (#267),to-read,,,,0,0
859694,Vathek,William Beckford,"Beckford, William",Richard Lonsdale,"=""0192836560""","=""9780192836564""",0,Oxford University Press,Paperback,180,1999,1786,,2025/10/16,to-read,to-read (#266),to-read,,,,0,0
