goodreads_id,title,author,isbn,isbn13,rating,status,date_read,date_added,favorite,review
32717347,"Fire Mage (Firecaller, #1)",Trudi Jaye,1738626709,9781738626700,4,read,2025/12/22,2025/11/29,false,"3.5⭐️ really<br/>It’s an engaging story but felt very barebones with the characters making decisions based on very vague info or even in single events (doesn’t seem credible, basically)<br/>The plot is your regular fantasy good vs evil with unpredictable situations and that’s fine.<br/>The characters weren’t bad, but, again, their personalities changed very quickly and it felt like there was a lot left unsaid (and it’s not a particular short book so we could have spent more time developing them)"
23848137,"Made to Kill (Ray Electromatic Mysteries, #1)",Adam Christopher,076537918X,9780765379184,3,read,2025/12/10,2025/12/01,false,"At most, it was okay… Not a lot happens, although the concept is cool"
42046112,Recursion,Blake Crouch,1524759783,9781524759780,3,read,2025/11/28,2023/02/28,false,"3.5⭐️ actually<br/><br/>I always end Crouch’s books feeling like they should actually be tv series. I guess that makes sense considering he’s seen as a screenwriter but I think that this approach works poorly for the second half of his books.<br/><br/>Recursion is a good book but if I’m reading the same thing 3-4 times, it just feels like … wasted time, I dunno.<br/>Repeating stuff works great in television and there’s always a different way of showing stuff , but with writing… I jut don’t think it works<br/><br/>The first half of the book felt amazing; everything made sense, and although the pacing was a bit slow, I was enjoying the book.<br/>The second half, tho… It felt very, very slow, and the impactful moments just got lost in the repetition and need to move forward to be able to wrap up the story.<br/><br/>Something was off. We followed the characters in several timelines and the climax is achieved by omitting an action of the sole character that we’re following <spoiler>how are we spending so many pages talking about each step the characters take but we then jump the part where Barry breaks into Slade’s house to remove the bullets???</spoiler><br/><br/>The book went on for too long for its own good and that makes me sad"
24830,The Illustrated Man,Ray Bradbury,000712774X,9780007127740,0,to-read,,2025/11/10,false,
40651883,Snow Crash,Neal Stephenson,,9780141884806,1,read,2025/11/18,2021/06/06,false,"I wasn’t expecting the book to be this awful, but it is.<br/>There’s so much exposition / lore, given by one sided dialogue that it gets extremely boring and uninteresting!<br/>The second half of the book is basically just one character explaining things to the other, with a “Oh yeah?” or “What do you mean?” in the middle just so you remember that there’s someone else in play.<br/><br/>I honestly don’t understand how this book has such a high rating considering the amount of info dump that it does.<br/>The world is cool and the concept was fairly new at the time, but the characters are flat as a sheet of paper, and the dialogue is … something.<br/>I don’t know what was the author’s reason to expose the world or plot like this but it reads like something a beginner would write."
32805475,Save the Cat! Writes a Novel,Jessica Brody,,,0,to-read,,2025/11/17,false,
33514,The Elements of Style,William Strunk Jr.,,9781453734797,0,to-read,,2025/11/17,false,
37944800,On Writing: A Memoir of the Craft,Stephen King,1508220301,9781508220305,5,read,2025/11/13,2023/08/21,false,"If you have the chance, hear the audiobook before reading the book, since you’ll hear the words from the King himself.<br/><br/>As a wannabe writer, On Writing is a kick in the balls; I’m 32, with no experience, and haven’t written more than 2 pages in the last 2 years, so King tells me “You’re not gonna make it” and he’s right. But maybe I also needed this message to be said loud and clear for me to get real about it.<br/><br/>As a reader, On Writing helps me understand what is and isn’t a good book; I don’t like how I end up describing a book as “something is off” and King’s explanations of what should be avoided made perfect sense to me (adverbs, long exposition, dialogue tags).<br/><br/>As a King enjoyer, knowing his process and life was very refreshing, which is made even better on the audiobook."
248596,Something Wicked This Way Comes,Ray Bradbury,0380729407,9780380729401,0,to-read,,2025/11/10,false,
77711,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,0812515285,9780812515282,3,read,2025/11/08,2024/04/23,false,"I get the high rating of this book, its first half is very good, but it has awful passing issues.<br/>The journey part seemed to never end and there was A LOT of exposition<br/>The plot also felt contrived at times and I’m not a fan of having a single character “saving the world”; the resolution of the menace also felt very weak.<br/><br/>I also feel like this book could have been maybe 3 different ones; or it could have been cut in half - there was no need for it to be so long in the uninteresting parts.<br/><br/>I’m sad for this; the book had an amazing way of talking about stuff: no long explanations about the whys because that’s just how it is, but then it lost itself on trying to find a solution for a problem it itself created"
222953258,"Depths of Vanalf (Grimnir Chronicles, #1)",Brady Hunsaker,,,0,to-read,,2025/10/19,false,
87580,The Private Memoirs and Confessions of a Justified Sinner,James Hogg,0192835904,9780192835901,0,to-read,,2025/10/16,false,
207313,Melmoth the Wanderer,Charles Robert Maturin,014044761X,9780140447613,0,to-read,,2025/10/16,false,
472966,The Vampyre,John William Polidori,1846372828,9781846372827,0,to-read,,2025/10/16,false,
50398,Northanger Abbey,Jane Austen,1593082649,9781593082642,0,to-read,,2025/10/16,false,
905394,Zastrozzi,Percy Bysshe Shelley,1843910292,9781843910299,0,to-read,,2025/10/16,false,
1116977,Zofloya,Charlotte Dacre,1551111462,9781551111469,0,to-read,,2025/10/16,false,
93157,The Monk,Matthew Gregory Lewis,0140436030,9780140436037,0,to-read,,2025/10/16,false,
93134,The Mysteries of Udolpho,Ann Radcliffe,0140437592,9780140437591,0,to-read,,2025/10/16,false,
859694,Vathek,William Beckford,0192836560,9780192836564,0,to-read,,2025/10/16,false,
856279,The Old English Baron,Clara Reeve,0192803271,9780192803276,0,to-read,,2025/10/16,false,
12923,The Castle of Otranto,Horace Walpole,0192834401,9780192834409,0,to-read,,2025/10/16,false,
23131083,In the Dark Places (Inspector Banks #22),Peter Robinson,0062240544,9780062240545,2,read,2025/10/16,2025/10/16,false,"Not a fan of this one; the pacing is very slow, there’s a lot of characters being introduced, a lot of dialogue around interrogations and it lacks the charm that I first found on Standing in the Shadows"
75593500,"These Burning Stars (The Kindom Trilogy, #1)",Bethany Jacobs,0316463329,9780316463324,5,read,2025/10/05,2025/09/21,false,"Good book! The sole sex scene felt a bit out of place considering there really isn’t any other but it’s fine.<br/>Good characters, good narrative, good world.<br/>Maybe the plot and narrative pov have their flaws but it doesn’t deter me from recommending it."
338329,Three Hearts and Three Lions,Poul Anderson,0575074981,9780575074989,0,to-read,,2025/10/01,false,
7959473,"American Assassin (Mitch Rapp, #1)",Vince Flynn,141659518X,9781416595182,0,to-read,,2025/09/30,false,
51583056,"Blood of Elves (The Witcher, #1)",Andrzej Sapkowski,,,4,read,2025/09/14,2025/02/01,false,"I already know I like The Witcher from the video games but if this was my introduction to the series, I would probably give it a low score because although there’s a lot of lore in it, it doesn’t have a lot of action or momentum to it.<br/>The two prequels are definitely necessary for someone who is not familiar with the series and I would recommend starting from there, otherwise you might pick this book, get bored, and lose on a good series"
29916156,"Star Wars, Episode I: The Phantom Menace (Star Wars, #1)",Terry Brooks,,,2,read,2025/09/17,2025/08/25,false,"As an audiobook, this was not good!<br/>As much as I’m a fan of the prequels, the audiobook lacks descriptions, atmosphere and impact.<br/>While newer SW audiobooks have a certain charm to them because of the sound effects, this has none of it; on top of that, the prequels are veeeeeery heavy on dialogue and without a profound description of the scenery, you’re just left with people talking with one another"
36510196,"Old Man's War (Old Man's War, #1)",John Scalzi,,,5,read,2025/09/20,2023/09/09,false,"Felt like I was reading Starship Troopers combined with Bill, The Galactic Hero and I’m definitely ok with that "
46000520,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,,,0,to-read,,2025/08/30,false,
2355014,Ozymandias,Percy Bysshe Shelley,977532582X,9789775325822,0,to-read,,2025/08/29,false,
216540053,Of Monsters and Mainframes,Barbara Truelove,,9781666692570,0,to-read,,2025/08/25,false,
56791389,"Dungeon Crawler Carl (Dungeon Crawler Carl, #1)",Matt Dinniman,,,0,to-read,,2025/08/25,false,
34392663,"A Time of Dread (Of Blood and Bone, #1)",John Gwynne,1509812946,9781509812943,0,to-read,,2025/08/24,false,
28876,"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,0345481283,9780345481283,0,to-read,,2025/08/23,false,
2868001,The Sex Lives of Cannibals: Adrift in the Equatorial Pacific,J. Maarten Troost,1433202875,9781433202872,4,read,2025/08/20,2025/08/09,false,"if it wasn’t for Simon Vance narrating it I probably wouldn’t have picked up this book, but I’m glad I did.<br/><br/>While the author’s tone might not be for everybody, it offers an interesting view of cultures and places that we may not even know that they exist."
12013,"Excession (Culture, #5)",Iain M. Banks,0553575376,9780553575378,0,to-read,,2025/08/19,false,
337116,The Difference Engine,William Gibson,055329461X,9780553294613,0,to-read,,2025/08/19,false,
161297,Schismatrix,Bruce Sterling,0441754007,9780441754007,0,to-read,,2025/08/19,false,
18775247,Mr. Mercedes (Bill Hodges #1),Stephen King,1476754454,9781476754451,3,read,2025/08/11,2025/07/31,false,"I felt like it went for far too long considering that the plot was kinda predictable and there was nothing extraordinary about it, but it was entertaining.<br/><br/>The characters felt like paper to me and even though I read Holly before, I couldn’t really care about any of them or how they were presented."
52025940,"The Anglo-Saxons: A History of the Beginnings of England, 400–1066",Marc Morris,1643133126,9781643133126,0,to-read,,2025/08/11,false,
13453029,"Wool Omnibus (Silo, #1)",Hugh Howey,,,0,to-read,,2025/08/08,false,
9014,The Long Walk,Richard Bachman,0451196716,9780451196712,0,to-read,,2025/08/05,false,
55104791,Later,Stephen King,1797121758,9781797121758,4,read,2025/07/30,2025/07/26,false,The plot is kinda average for this book but I’m bumping it to 4⭐️ because Seth Numrich’s performance in the audiobook is what made it very enjoyable!
112537,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,1857231589,9781857231588,5,read,2025/07/27,2024/10/05,false,"heavy in physic concepts that i don’t understand, complex inter-planetary politics, and avant-garde and inconceivable “ship” design! this is everything i want from a sci fi book!"
8935689,"Consider Phlebas (Culture, #1)",Iain M. Banks,1857231384,9781857231380,0,to-read,,2025/07/21,false,
87591651,The Stand,Stephen King,0451160959,9780451160959,0,to-read,,2025/07/21,false,
